ticket_number,client,title,priority,status,assigned_to,created,completed
T20260001,Apex Aero Parts,Server disk space alert,High,Complete,C. Okafor,2026-09-11 20:06,2026-09-12 01:29
T20260002,Northfield Machining,MFA enrollment,Medium,Complete,A. Rivera,2026-09-17 09:49,2026-09-17 11:16
T20260003,Northfield Machining,Server disk space alert,Low,Complete,A. Rivera,2026-09-09 17:28,2026-09-11 18:50
T20260004,Huron Logistics,Printer offline,Critical,Complete,A. Rivera,2026-09-06 08:28,2026-09-06 08:54
T20260005,Birch CPA Group,New user onboarding,Medium,Complete,C. Okafor,2026-09-07 07:02,2026-09-07 09:12
T20260006,Birch CPA Group,Workstation slow,Medium,Complete,A. Rivera,2026-09-10 19:41,2026-09-11 00:17
T20260007,Lakeside Dental,VPN not connecting,Medium,Waiting Customer,,2026-09-18 04:48,
T20260008,Northfield Machining,VPN not connecting,Medium,Complete,B. Chen,2026-09-12 07:58,2026-09-13 02:45
T20260009,Northfield Machining,MFA enrollment,High,Waiting Customer,B. Chen,2026-09-16 06:15,
T20260010,Huron Logistics,VPN not connecting,Low,Complete,B. Chen,2026-09-02 02:05,2026-09-03 12:24
T20260011,Apex Aero Parts,Server disk space alert,Low,Complete,B. Chen,2026-09-01 00:29,2026-09-01 03:37
T20260012,Northfield Machining,Firewall rule change,Low,Complete,A. Rivera,2026-08-28 19:28,2026-08-31 02:42
T20260013,Lakeside Dental,Workstation slow,Medium,Complete,B. Chen,2026-09-11 04:12,2026-09-11 10:58
T20260014,Lakeside Dental,Workstation slow,Low,Complete,A. Rivera,2026-09-10 10:21,2026-09-12 02:12
T20260015,Lakeside Dental,Printer offline,Medium,Complete,B. Chen,2026-08-31 12:24,2026-09-02 07:31
T20260016,Lakeside Dental,Email delivery delay,High,Complete,C. Okafor,2026-09-16 21:15,2026-09-17 09:42
T20260017,Lakeside Dental,MFA enrollment,High,Complete,B. Chen,2026-09-12 17:11,2026-09-12 19:52
T20260018,Birch CPA Group,Workstation slow,Medium,Complete,C. Okafor,2026-08-29 17:02,2026-08-31 09:59
T20260019,Lakeside Dental,Firewall rule change,Medium,Complete,B. Chen,2026-09-10 06:46,2026-09-10 11:00
T20260020,Northfield Machining,Backup job failed,Medium,Complete,A. Rivera,2026-09-15 05:21,2026-09-15 08:38
T20260021,Apex Aero Parts,Server disk space alert,High,Complete,A. Rivera,2026-09-05 18:17,2026-09-06 01:20
T20260022,Northfield Machining,Printer offline,High,New,D. Patel,2026-09-17 10:42,
T20260023,Lakeside Dental,MFA enrollment,Medium,Complete,B. Chen,2026-09-02 21:54,2026-09-03 12:26
T20260024,Northfield Machining,Email delivery delay,Medium,Waiting Customer,,2026-09-17 01:14,
T20260025,Apex Aero Parts,New user onboarding,High,Complete,D. Patel,2026-09-10 22:33,2026-09-11 09:07
T20260026,Huron Logistics,New user onboarding,Low,Complete,D. Patel,2026-09-05 18:32,2026-09-06 08:13
T20260027,Lakeside Dental,Server disk space alert,Medium,In Progress,C. Okafor,2026-09-17 11:24,
T20260028,Lakeside Dental,Firewall rule change,Low,New,,2026-09-18 02:22,
T20260029,Apex Aero Parts,VPN not connecting,Medium,Waiting Customer,,2026-09-16 09:24,
T20260030,Huron Logistics,Backup job failed,Medium,Complete,C. Okafor,2026-09-16 02:41,2026-09-17 22:39
T20260031,Lakeside Dental,Printer offline,Low,New,C. Okafor,2026-09-18 10:26,
T20260032,Huron Logistics,Backup job failed,Medium,New,B. Chen,2026-09-17 04:02,
T20260033,Lakeside Dental,Workstation slow,High,New,A. Rivera,2026-09-17 08:10,
T20260034,Birch CPA Group,Backup job failed,High,Complete,A. Rivera,2026-09-01 07:26,2026-09-01 09:22
T20260035,Birch CPA Group,MFA enrollment,Medium,In Progress,A. Rivera,2026-09-17 12:14,
T20260036,Huron Logistics,Printer offline,Low,Complete,A. Rivera,2026-09-01 06:56,2026-09-02 18:40
T20260037,Northfield Machining,MFA enrollment,Low,Complete,A. Rivera,2026-09-05 20:53,2026-09-07 21:09
T20260038,Birch CPA Group,Password reset,Medium,Complete,B. Chen,2026-09-17 07:56,2026-09-18 13:54
T20260039,Northfield Machining,Firewall rule change,Medium,Complete,D. Patel,2026-09-13 10:00,2026-09-14 02:30
T20260040,Birch CPA Group,MFA enrollment,Low,Complete,C. Okafor,2026-09-11 19:12,2026-09-12 11:26
T20260041,Apex Aero Parts,MFA enrollment,Medium,Complete,A. Rivera,2026-09-01 16:53,2026-09-03 10:38
T20260042,Apex Aero Parts,VPN not connecting,High,Complete,B. Chen,2026-08-30 21:56,2026-08-31 01:25
T20260043,Lakeside Dental,Backup job failed,Medium,Complete,A. Rivera,2026-09-04 13:24,2026-09-04 16:01
T20260044,Huron Logistics,Printer offline,Low,Waiting Customer,,2026-09-17 15:48,
T20260045,Lakeside Dental,Backup job failed,High,Complete,B. Chen,2026-09-01 04:16,2026-09-01 07:10
T20260046,Northfield Machining,Workstation slow,Medium,Complete,A. Rivera,2026-09-11 22:46,2026-09-12 10:23
T20260047,Lakeside Dental,VPN not connecting,Medium,Complete,B. Chen,2026-09-11 16:15,2026-09-15 04:21
T20260048,Apex Aero Parts,Workstation slow,Medium,New,,2026-09-16 14:43,
T20260049,Lakeside Dental,Workstation slow,Medium,Complete,B. Chen,2026-09-07 09:05,2026-09-07 15:38
T20260050,Birch CPA Group,New user onboarding,Medium,Complete,A. Rivera,2026-08-30 20:40,2026-08-31 02:42
T20260051,Apex Aero Parts,Server disk space alert,Low,New,B. Chen,2026-09-16 08:21,
T20260052,Apex Aero Parts,Email delivery delay,Medium,Waiting Customer,,2026-09-18 04:43,
T20260053,Northfield Machining,Email delivery delay,Medium,Complete,B. Chen,2026-09-02 16:58,2026-09-03 01:29
T20260054,Huron Logistics,VPN not connecting,Critical,Waiting Customer,B. Chen,2026-09-18 00:52,
T20260055,Lakeside Dental,New user onboarding,Medium,In Progress,B. Chen,2026-09-17 09:21,
T20260056,Lakeside Dental,Password reset,Low,New,C. Okafor,2026-09-16 05:04,
T20260057,Huron Logistics,MFA enrollment,Low,Complete,B. Chen,2026-09-05 12:23,2026-09-07 19:06
T20260058,Lakeside Dental,Email delivery delay,Medium,Complete,A. Rivera,2026-09-04 13:43,2026-09-05 02:01
T20260059,Apex Aero Parts,New user onboarding,Medium,In Progress,,2026-09-18 00:57,
T20260060,Lakeside Dental,MFA enrollment,Medium,Complete,A. Rivera,2026-09-14 18:58,2026-09-15 16:18
T20260061,Huron Logistics,Password reset,High,Complete,D. Patel,2026-09-02 08:33,2026-09-02 14:44
T20260062,Birch CPA Group,Workstation slow,Medium,In Progress,A. Rivera,2026-09-18 06:15,
T20260063,Birch CPA Group,Workstation slow,Medium,Complete,A. Rivera,2026-09-03 12:29,2026-09-03 15:37
T20260064,Northfield Machining,Server disk space alert,Low,Complete,A. Rivera,2026-09-03 05:52,2026-09-04 16:58
